MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	57.370117	s	2/8/2024 3:01:59 PM
Time	Ch 1 Force	Bolt
s	N	V
37.387695	3752.1475	0.53967214
37.407227	3744.8486	0.53985429
37.426758	3762.4116	0.53973591
37.446289	3764.1697	0.53923017
37.46582	3758.2185	0.53888881
37.485352	3777.0054	0.53908932
37.504883	3791.4143	0.5396874
37.524414	3791.3413	0.54004735
37.543945	3809.5757	0.54001164
37.563477	3832.4958	0.53971428
37.583008	3837.6191	0.53966165
37.602539	3861.4934	0.54024339
37.62207	3892.3376	0.54099649
37.641602	3903.2021	0.54166406
37.661133	3922.8171	0.54166979
37.680664	3959.9763	0.54160154
37.700195	3978.438	0.54178631
37.719727	3996.7798	0.54269594
37.739258	4036.3413	0.54363346
37.758789	4062.8477	0.54428089
37.77832	4086.1101	0.54441458
37.797852	4129.6997	0.54460955
37.817383	4163.8125	0.54509568
37.836914	4185.9551	0.54621172
37.856445	4228.8086	0.54731309
37.875977	4271.9321	0.54819894
37.895508	4297.0425	0.54843765
37.915039	4337.0117	0.54880923
37.93457	4386.8613	0.54952848
37.954102	4417.0186	0.55086994
37.973633	4458.9541	0.55217201
37.993164	4509.0366	0.55301839
38.012695	4543.499	0.55353391
38.032227	4581.1396	0.55404562
38.051758	4637.8223	0.55509496
38.071289	4678.7588	0.55658424
38.09082	4712.5928	0.55795658
38.110352	4766.3384	0.55889463
38.129883	4815.4048	0.55949402
38.149414	4852.3633	0.5601787
38.168945	4904.1528	0.56145334
38.188477	4950.7583	0.56304431
38.208008	4988.501	0.56453234
38.227539	5038.0586	0.56546694
38.24707	5093.5752	0.56615287
38.266602	5128.8223	0.56691778
38.286133	5171.8604	0.5684455
38.305664	5228.4033	0.57023388
38.325195	5266.248	0.57155812
38.344727	5304.8101	0.57237589
38.364258	5359.146	0.57327771
38.383789	5400.2661	0.5742023
38.40332	5436.0825	0.57584476
38.422852	5488.8774	0.57747507
38.442383	5532.3276	0.57881665
38.461914	5561.811	0.57960099
38.481445	5607.502	0.58037764
38.500977	5656.9204	0.58154923
38.520508	5687.9854	0.58327788
38.540039	5727.8071	0.58481514
38.55957	5772.2915	0.58598435
38.579102	5796.9014	0.58666593
38.598633	5830.4097	0.58737373
38.618164	5877.3301	0.58847082
38.637695	5901.4536	0.58997327
38.657227	5926.6577	0.59132051
38.676758	5968.6714	0.59229046
38.696289	5995.6494	0.59283358
38.71582	6012.6572	0.59338665
38.735352	6047.9897	0.59440458
38.754883	6075.0083	0.59581941
38.774414	6086.896	0.59703648
38.793945	6116.3442	0.59766245
38.813477	6139.7192	0.59787762
38.833008	6146.1851	0.59832156
38.852539	6168.4399	0.59929985
38.87207	6193.4414	0.60038847
38.891602	6198.7739	0.60125333
38.911133	6206.1968	0.60147434
38.930664	6229.8428	0.60146999
38.950195	6232.7651	0.60173416
38.969727	6234.6729	0.60230422
38.989258	6252.2944	0.60316545
39.008789	6250.9199	0.6037693
39.02832	6244.6709	0.60363626
39.047852	6257.8926	0.60341185
39.067383	6258.8511	0.60336041
39.086914	6240.3726	0.60389173
39.106445	6243.3911	0.60429609
39.125977	6244.5806	0.60449517
39.145508	6225.1338	0.60397905
39.165039	6220.7842	0.60344756
39.18457	6216.2324	0.60320497
39.204102	6192.9878	0.60348219
39.223633	6176.1606	0.60349476
39.243164	6172.333	0.60311031
39.262695	6145.0781	0.60231996
39.282227	6120.8345	0.60161442
39.301758	6113.9863	0.60114586
39.321289	6087.2803	0.60113823
39.34082	6053.9536	0.60096568
39.360352	6039.73	0.60039365
39.379883	6012.3926	0.59915674
39.399414	5974.1631	0.59819734
39.418945	5953.5293	0.59757668
39.438477	5928.3262	0.59742278
39.458008	5882.2695	0.59685516
39.477539	5854.4663	0.59591877
39.49707	5829.7754	0.5946238
39.516602	5785.4248	0.59345132
39.536133	5746.7529	0.5927465
39.555664	5717.9463	0.59226197
39.575195	5673.3892	0.59153461
39.594727	5630.5015	0.59027678
39.614258	5600.8096	0.58874434
39.633789	5558.1191	0.58754081
39.65332	5505.1372	0.58669674
39.672852	5476.1216	0.58623081
39.692383	5435.3652	0.58508569
39.711914	5379.6255	0.58367544
39.731445	5341.5068	0.58211613
39.750977	5301.9087	0.58093536
39.770508	5248.2568	0.58023262
39.790039	5206.6641	0.57945848
39.80957	5169.1426	0.57838184
39.829102	5113.4004	0.57673186
39.848633	5063.9131	0.57515395
39.868164	5027.605	0.5738818
39.887695	4973.0659	0.57312763
39.907227	4922.2251	0.57222301
39.926758	4885.5898	0.57114625
39.946289	4837.8921	0.56943864
39.96582	4785.6528	0.56793898
39.985352	4750.2979	0.56681031
40.004883	4704.6553	0.56607491
40.024414	4651.1948	0.56533396
40.043945	4613.0283	0.56407607
40.063477	4576.502	0.56250143
40.083008	4525.5503	0.56102926
40.102539	4482.8433	0.56011206
40.12207	4450.3901	0.55955404
40.141602	4401.2827	0.55879045
40.161133	4359.8027	0.55745864
40.180664	4330.1387	0.55604601
40.200195	4285.5527	0.55472118
40.219727	4244.856	0.5541026
40.239258	4219.6572	0.55361533
40.258789	4181.8735	0.55286896
40.27832	4137.0669	0.55162084
40.297852	4113.2256	0.55028445
40.317383	4084.4507	0.54923195
40.336914	4043.6221	0.54888177
40.356445	4022.7102	0.54860067
40.375977	3995.8516	0.54793251
40.395508	3960.4934	0.54677725
40.415039	3938.1299	0.54579943
40.43457	3924.8591	0.54499525
40.454102	3891.0063	0.54480976
40.473633	3866.0125	0.54445827
40.493164	3860.604	0.54406875
