Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,1.245,-1.905,34.0,0.350,2.120,150.0,1.510,-2.544,156.0,1.570,0.346,294.0,2.950,-2.101
0.020,1.284,-1.922,304.0,3.050,2.133,421.0,4.220,-2.518,427.0,4.280,0.350,565.0,5.660,-2.102
0.030,1.325,-1.937,574.0,5.750,2.124,689.0,6.900,-2.517,697.0,6.980,0.348,834.0,8.350,-2.105
0.040,1.362,-1.952,845.0,8.460,2.136,960.0,9.610,-2.512,967.0,9.680,0.348,1105.0,11.060,-2.102
0.050,1.405,-1.964,1116.0,11.170,2.129,1230.0,12.310,-2.517,1237.0,12.380,0.347,1375.0,13.760,-2.102
0.060,1.444,-1.977,1386.0,13.870,2.156,1499.0,15.000,-2.471,1507.0,15.080,0.345,1645.0,16.460,-2.102
0.070,1.481,-1.991,1656.0,16.570,2.215,1770.0,17.710,-2.517,1777.0,17.780,0.346,1913.0,19.140,-2.102
0.080,1.528,-2.003,1927.0,19.280,2.211,2040.0,20.410,-2.472,2047.0,20.480,0.346,,,
0.090,1.564,-2.014,,,,,,,,,,,,
0.100,1.600,-2.023,,,,,,,,,,,,
0.110,1.631,-2.033,,,,,,,,,,,,
0.120,1.668,-2.042,,,,,,,,,,,,
0.130,1.704,-2.050,,,,,,,,,,,,
0.140,1.730,-2.058,,,,,,,,,,,,
0.150,1.762,-2.064,,,,,,,,,,,,
0.160,1.798,-2.068,,,,,,,,,,,,
0.170,1.825,-2.073,,,,,,,,,,,,
0.180,1.850,-2.079,,,,,,,,,,,,
0.190,1.882,-2.085,,,,,,,,,,,,
0.200,1.913,-2.089,,,,,,,,,,,,
0.210,1.935,-2.092,,,,,,,,,,,,
0.220,1.959,-2.095,,,,,,,,,,,,
0.230,1.985,-2.099,,,,,,,,,,,,
0.240,2.005,-2.101,,,,,,,,,,,,
0.250,2.024,-2.101,,,,,,,,,,,,
0.260,2.042,-2.100,,,,,,,,,,,,
0.270,2.062,-2.100,,,,,,,,,,,,
0.280,2.076,-2.097,,,,,,,,,,,,
0.290,2.086,-2.094,,,,,,,,,,,,
0.300,2.094,-2.090,,,,,,,,,,,,
0.310,2.101,-2.084,,,,,,,,,,,,
0.320,2.109,-2.078,,,,,,,,,,,,
0.330,2.117,-2.072,,,,,,,,,,,,
0.340,2.119,-2.067,,,,,,,,,,,,
0.350,2.120,-2.063,,,,,,,,,,,,
0.360,2.119,-2.056,,,,,,,,,,,,
0.370,2.118,-2.049,,,,,,,,,,,,
0.380,2.118,-2.040,,,,,,,,,,,,
0.390,2.118,-2.030,,,,,,,,,,,,
0.400,2.118,-2.021,,,,,,,,,,,,
0.410,2.115,-2.011,,,,,,,,,,,,
0.420,2.115,-2.001,,,,,,,,,,,,
0.430,2.114,-1.990,,,,,,,,,,,,
0.440,2.115,-1.976,,,,,,,,,,,,
0.450,2.114,-1.962,,,,,,,,,,,,
0.460,2.106,-1.948,,,,,,,,,,,,
0.470,2.098,-1.934,,,,,,,,,,,,
0.480,2.092,-1.920,,,,,,,,,,,,
0.490,2.083,-1.905,,,,,,,,,,,,
0.500,2.072,-1.889,,,,,,,,,,,,
0.510,2.058,-1.872,,,,,,,,,,,,
0.520,2.043,-1.854,,,,,,,,,,,,
0.530,2.025,-1.838,,,,,,,,,,,,
0.540,2.006,-1.817,,,,,,,,,,,,
0.550,1.991,-1.797,,,,,,,,,,,,
0.560,1.971,-1.774,,,,,,,,,,,,
0.570,1.946,-1.754,,,,,,,,,,,,
0.580,1.925,-1.733,,,,,,,,,,,,
0.590,1.901,-1.712,,,,,,,,,,,,
0.600,1.871,-1.686,,,,,,,,,,,,
0.610,1.840,-1.659,,,,,,,,,,,,
0.620,1.816,-1.635,,,,,,,,,,,,
0.630,1.786,-1.612,,,,,,,,,,,,
0.640,1.753,-1.588,,,,,,,,,,,,
0.650,1.722,-1.563,,,,,,,,,,,,
0.660,1.685,-1.536,,,,,,,,,,,,
0.670,1.643,-1.510,,,,,,,,,,,,
0.680,1.602,-1.483,,,,,,,,,,,,
0.690,1.554,-1.459,,,,,,,,,,,,
0.700,1.514,-1.434,,,,,,,,,,,,
0.710,1.457,-1.407,,,,,,,,,,,,
0.720,1.408,-1.381,,,,,,,,,,,,
0.730,1.356,-1.355,,,,,,,,,,,,
0.740,1.304,-1.328,,,,,,,,,,,,
0.750,1.253,-1.301,,,,,,,,,,,,
0.760,1.200,-1.273,,,,,,,,,,,,
0.770,1.148,-1.247,,,,,,,,,,,,
0.780,1.105,-1.220,,,,,,,,,,,,
0.790,1.051,-1.195,,,,,,,,,,,,
0.800,1.004,-1.167,,,,,,,,,,,,
0.810,0.949,-1.138,,,,,,,,,,,,
0.820,0.901,-1.111,,,,,,,,,,,,
0.830,0.847,-1.083,,,,,,,,,,,,
0.840,0.793,-1.054,,,,,,,,,,,,
0.850,0.733,-1.026,,,,,,,,,,,,
0.860,0.672,-0.997,,,,,,,,,,,,
0.870,0.609,-0.968,,,,,,,,,,,,
0.880,0.546,-0.939,,,,,,,,,,,,
0.890,0.482,-0.912,,,,,,,,,,,,
0.900,0.418,-0.883,,,,,,,,,,,,
0.910,0.351,-0.854,,,,,,,,,,,,
0.920,0.282,-0.826,,,,,,,,,,,,
0.930,0.215,-0.801,,,,,,,,,,,,
0.940,0.152,-0.775,,,,,,,,,,,,
0.950,0.084,-0.748,,,,,,,,,,,,
0.960,0.014,-0.719,,,,,,,,,,,,
0.970,-0.056,-0.688,,,,,,,,,,,,
0.980,-0.127,-0.656,,,,,,,,,,,,
0.990,-0.197,-0.627,,,,,,,,,,,,
1.000,-0.271,-0.599,,,,,,,,,,,,
1.010,-0.343,-0.571,,,,,,,,,,,,
1.020,-0.415,-0.541,,,,,,,,,,,,
1.030,-0.487,-0.511,,,,,,,,,,,,
1.040,-0.551,-0.480,,,,,,,,,,,,
1.050,-0.619,-0.451,,,,,,,,,,,,
1.060,-0.687,-0.427,,,,,,,,,,,,
1.070,-0.753,-0.404,,,,,,,,,,,,
1.080,-0.817,-0.376,,,,,,,,,,,,
1.090,-0.878,-0.350,,,,,,,,,,,,
1.100,-0.943,-0.325,,,,,,,,,,,,
1.110,-1.007,-0.301,,,,,,,,,,,,
1.120,-1.070,-0.279,,,,,,,,,,,,
1.130,-1.134,-0.256,,,,,,,,,,,,
1.140,-1.197,-0.230,,,,,,,,,,,,
1.150,-1.263,-0.201,,,,,,,,,,,,
1.160,-1.326,-0.176,,,,,,,,,,,,
