Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,-3.862,0.343,93.0,0.940,3.469,184.0,1.850,-3.913,179.0,1.800,0.346,91.0,0.920,-2.101
0.020,-3.877,0.341,272.0,2.730,3.477,364.0,3.650,-3.918,359.0,3.600,0.346,271.0,2.720,-2.101
0.030,-3.889,0.339,452.0,4.530,3.490,544.0,5.450,-3.922,539.0,5.400,0.348,451.0,4.520,-2.101
0.040,-3.896,0.335,632.0,6.330,3.495,724.0,7.250,-3.923,719.0,7.200,0.345,630.0,6.310,-2.101
0.050,-3.897,0.329,812.0,8.130,3.528,903.0,9.040,-3.909,899.0,9.000,0.347,810.0,8.110,-2.101
0.060,-3.887,0.322,993.0,9.940,3.466,1084.0,10.850,-3.878,1079.0,10.800,0.345,990.0,9.910,-2.100
0.070,-3.874,0.312,1174.0,11.750,3.446,1265.0,12.660,-3.873,1260.0,12.610,0.345,1171.0,11.720,-2.101
0.080,-3.857,0.303,1355.0,13.560,3.455,1446.0,14.470,-3.876,1441.0,14.420,0.344,1352.0,13.530,-2.100
0.090,-3.838,0.293,1536.0,15.370,3.463,1626.0,16.270,-3.905,1621.0,16.220,0.345,1533.0,15.340,-2.101
0.100,-3.813,0.281,1716.0,17.170,3.542,1806.0,18.070,-3.916,1801.0,18.020,0.346,1713.0,17.140,-2.101
0.110,-3.782,0.267,1894.0,18.950,3.478,1986.0,19.870,-3.919,1981.0,19.820,0.347,1893.0,18.940,-2.101
0.120,-3.747,0.252,2075.0,20.760,3.540,,,,,,,2073.0,20.740,-2.101
0.130,-3.712,0.238,,,,,,,,,,,,
0.140,-3.670,0.223,,,,,,,,,,,,
0.150,-3.625,0.205,,,,,,,,,,,,
0.160,-3.573,0.186,,,,,,,,,,,,
0.170,-3.518,0.164,,,,,,,,,,,,
0.180,-3.459,0.143,,,,,,,,,,,,
0.190,-3.399,0.120,,,,,,,,,,,,
0.200,-3.336,0.095,,,,,,,,,,,,
0.210,-3.270,0.067,,,,,,,,,,,,
0.220,-3.199,0.039,,,,,,,,,,,,
0.230,-3.124,0.012,,,,,,,,,,,,
0.240,-3.044,-0.014,,,,,,,,,,,,
0.250,-2.962,-0.045,,,,,,,,,,,,
0.260,-2.877,-0.077,,,,,,,,,,,,
0.270,-2.788,-0.109,,,,,,,,,,,,
0.280,-2.694,-0.140,,,,,,,,,,,,
0.290,-2.594,-0.173,,,,,,,,,,,,
0.300,-2.490,-0.204,,,,,,,,,,,,
0.310,-2.381,-0.237,,,,,,,,,,,,
0.320,-2.270,-0.274,,,,,,,,,,,,
0.330,-2.161,-0.311,,,,,,,,,,,,
0.340,-2.051,-0.344,,,,,,,,,,,,
0.350,-1.939,-0.378,,,,,,,,,,,,
0.360,-1.823,-0.413,,,,,,,,,,,,
0.370,-1.706,-0.453,,,,,,,,,,,,
0.380,-1.589,-0.492,,,,,,,,,,,,
0.390,-1.469,-0.532,,,,,,,,,,,,
0.400,-1.350,-0.574,,,,,,,,,,,,
0.410,-1.233,-0.616,,,,,,,,,,,,
0.420,-1.115,-0.657,,,,,,,,,,,,
0.430,-0.994,-0.698,,,,,,,,,,,,
0.440,-0.869,-0.741,,,,,,,,,,,,
0.450,-0.744,-0.784,,,,,,,,,,,,
0.460,-0.617,-0.825,,,,,,,,,,,,
0.470,-0.489,-0.865,,,,,,,,,,,,
0.480,-0.360,-0.905,,,,,,,,,,,,
0.490,-0.232,-0.946,,,,,,,,,,,,
0.500,-0.102,-0.988,,,,,,,,,,,,
0.510,0.033,-1.030,,,,,,,,,,,,
0.520,0.169,-1.071,,,,,,,,,,,,
0.530,0.301,-1.112,,,,,,,,,,,,
0.540,0.430,-1.152,,,,,,,,,,,,
