Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,-1.341,0.086,273.0,2.740,1.644,54.0,0.550,-2.047,49.0,0.500,0.354,274.0,2.750,-2.095
0.020,-1.353,0.098,718.0,7.190,1.633,500.0,5.010,-2.048,496.0,4.970,0.354,722.0,7.230,-2.095
0.030,-1.360,0.110,1168.0,11.690,1.634,945.0,9.460,-2.048,942.0,9.430,0.353,1167.0,11.680,-2.095
0.040,-1.370,0.122,1617.0,16.180,1.661,1395.0,13.960,-2.048,1390.0,13.910,0.354,1619.0,16.200,-2.094
0.050,-1.381,0.133,,,,1849.0,18.500,-2.022,1845.0,18.460,0.356,,,
0.060,-1.390,0.144,,,,,,,,,,,,
0.070,-1.397,0.154,,,,,,,,,,,,
0.080,-1.408,0.164,,,,,,,,,,,,
0.090,-1.421,0.173,,,,,,,,,,,,
0.100,-1.436,0.182,,,,,,,,,,,,
0.110,-1.449,0.190,,,,,,,,,,,,
0.120,-1.463,0.196,,,,,,,,,,,,
0.130,-1.474,0.203,,,,,,,,,,,,
0.140,-1.486,0.211,,,,,,,,,,,,
0.150,-1.501,0.218,,,,,,,,,,,,
0.160,-1.513,0.224,,,,,,,,,,,,
0.170,-1.527,0.231,,,,,,,,,,,,
0.180,-1.540,0.236,,,,,,,,,,,,
0.190,-1.553,0.243,,,,,,,,,,,,
0.200,-1.574,0.250,,,,,,,,,,,,
0.210,-1.591,0.257,,,,,,,,,,,,
0.220,-1.607,0.262,,,,,,,,,,,,
0.230,-1.624,0.267,,,,,,,,,,,,
0.240,-1.642,0.273,,,,,,,,,,,,
0.250,-1.662,0.279,,,,,,,,,,,,
0.260,-1.682,0.285,,,,,,,,,,,,
0.270,-1.704,0.291,,,,,,,,,,,,
0.280,-1.727,0.296,,,,,,,,,,,,
0.290,-1.744,0.302,,,,,,,,,,,,
0.300,-1.764,0.306,,,,,,,,,,,,
0.310,-1.779,0.310,,,,,,,,,,,,
0.320,-1.791,0.314,,,,,,,,,,,,
0.330,-1.809,0.317,,,,,,,,,,,,
0.340,-1.832,0.320,,,,,,,,,,,,
0.350,-1.853,0.324,,,,,,,,,,,,
0.360,-1.866,0.328,,,,,,,,,,,,
0.370,-1.879,0.329,,,,,,,,,,,,
0.380,-1.892,0.331,,,,,,,,,,,,
0.390,-1.904,0.334,,,,,,,,,,,,
0.400,-1.918,0.337,,,,,,,,,,,,
0.410,-1.931,0.340,,,,,,,,,,,,
0.420,-1.940,0.343,,,,,,,,,,,,
0.430,-1.944,0.345,,,,,,,,,,,,
0.440,-1.952,0.347,,,,,,,,,,,,
0.450,-1.965,0.349,,,,,,,,,,,,
0.460,-1.975,0.350,,,,,,,,,,,,
0.470,-1.986,0.351,,,,,,,,,,,,
0.480,-1.997,0.352,,,,,,,,,,,,
0.490,-2.009,0.353,,,,,,,,,,,,
0.500,-2.021,0.354,,,,,,,,,,,,
0.510,-2.030,0.354,,,,,,,,,,,,
0.520,-2.038,0.353,,,,,,,,,,,,
0.530,-2.043,0.352,,,,,,,,,,,,
0.540,-2.044,0.350,,,,,,,,,,,,
0.550,-2.047,0.349,,,,,,,,,,,,
0.560,-2.045,0.346,,,,,,,,,,,,
0.570,-2.044,0.342,,,,,,,,,,,,
0.580,-2.042,0.338,,,,,,,,,,,,
0.590,-2.040,0.334,,,,,,,,,,,,
0.600,-2.042,0.331,,,,,,,,,,,,
0.610,-2.041,0.328,,,,,,,,,,,,
0.620,-2.038,0.325,,,,,,,,,,,,
0.630,-2.035,0.322,,,,,,,,,,,,
0.640,-2.034,0.319,,,,,,,,,,,,
0.650,-2.036,0.318,,,,,,,,,,,,
0.660,-2.036,0.316,,,,,,,,,,,,
0.670,-2.034,0.312,,,,,,,,,,,,
0.680,-2.031,0.308,,,,,,,,,,,,
0.690,-2.026,0.305,,,,,,,,,,,,
0.700,-2.023,0.301,,,,,,,,,,,,
0.710,-2.020,0.297,,,,,,,,,,,,
0.720,-2.015,0.291,,,,,,,,,,,,
0.730,-2.011,0.285,,,,,,,,,,,,
0.740,-2.007,0.279,,,,,,,,,,,,
0.750,-2.005,0.274,,,,,,,,,,,,
0.760,-2.002,0.270,,,,,,,,,,,,
0.770,-2.001,0.264,,,,,,,,,,,,
0.780,-2.000,0.259,,,,,,,,,,,,
0.790,-2.000,0.252,,,,,,,,,,,,
0.800,-2.001,0.247,,,,,,,,,,,,
0.810,-2.001,0.241,,,,,,,,,,,,
0.820,-2.001,0.236,,,,,,,,,,,,
0.830,-1.999,0.230,,,,,,,,,,,,
0.840,-1.995,0.224,,,,,,,,,,,,
0.850,-1.992,0.218,,,,,,,,,,,,
0.860,-1.986,0.211,,,,,,,,,,,,
0.870,-1.978,0.204,,,,,,,,,,,,
0.880,-1.971,0.198,,,,,,,,,,,,
0.890,-1.964,0.191,,,,,,,,,,,,
0.900,-1.959,0.184,,,,,,,,,,,,
0.910,-1.951,0.177,,,,,,,,,,,,
0.920,-1.945,0.170,,,,,,,,,,,,
0.930,-1.939,0.161,,,,,,,,,,,,
0.940,-1.937,0.153,,,,,,,,,,,,
0.950,-1.936,0.142,,,,,,,,,,,,
0.960,-1.934,0.132,,,,,,,,,,,,
0.970,-1.928,0.121,,,,,,,,,,,,
0.980,-1.921,0.111,,,,,,,,,,,,
0.990,-1.912,0.100,,,,,,,,,,,,
1.000,-1.901,0.090,,,,,,,,,,,,
1.010,-1.890,0.079,,,,,,,,,,,,
1.020,-1.877,0.067,,,,,,,,,,,,
1.030,-1.863,0.057,,,,,,,,,,,,
1.040,-1.848,0.049,,,,,,,,,,,,
1.050,-1.833,0.040,,,,,,,,,,,,
1.060,-1.821,0.030,,,,,,,,,,,,
1.070,-1.804,0.018,,,,,,,,,,,,
1.080,-1.788,0.006,,,,,,,,,,,,
1.090,-1.772,-0.008,,,,,,,,,,,,
1.100,-1.756,-0.021,,,,,,,,,,,,
1.110,-1.738,-0.032,,,,,,,,,,,,
1.120,-1.720,-0.044,,,,,,,,,,,,
1.130,-1.701,-0.056,,,,,,,,,,,,
1.140,-1.682,-0.067,,,,,,,,,,,,
1.150,-1.659,-0.077,,,,,,,,,,,,
1.160,-1.637,-0.086,,,,,,,,,,,,
1.170,-1.618,-0.095,,,,,,,,,,,,
1.180,-1.603,-0.104,,,,,,,,,,,,
1.190,-1.584,-0.115,,,,,,,,,,,,
1.200,-1.566,-0.129,,,,,,,,,,,,
1.210,-1.541,-0.145,,,,,,,,,,,,
1.220,-1.518,-0.162,,,,,,,,,,,,
1.230,-1.499,-0.179,,,,,,,,,,,,
1.240,-1.482,-0.194,,,,,,,,,,,,
1.250,-1.464,-0.208,,,,,,,,,,,,
1.260,-1.443,-0.224,,,,,,,,,,,,
1.270,-1.420,-0.239,,,,,,,,,,,,
1.280,-1.400,-0.253,,,,,,,,,,,,
1.290,-1.376,-0.267,,,,,,,,,,,,
1.300,-1.358,-0.280,,,,,,,,,,,,
1.310,-1.336,-0.292,,,,,,,,,,,,
1.320,-1.311,-0.303,,,,,,,,,,,,
1.330,-1.283,-0.317,,,,,,,,,,,,
1.340,-1.258,-0.332,,,,,,,,,,,,
1.350,-1.232,-0.345,,,,,,,,,,,,
1.360,-1.205,-0.360,,,,,,,,,,,,
1.370,-1.176,-0.375,,,,,,,,,,,,
1.380,-1.150,-0.387,,,,,,,,,,,,
1.390,-1.125,-0.401,,,,,,,,,,,,
1.400,-1.101,-0.415,,,,,,,,,,,,
1.410,-1.073,-0.432,,,,,,,,,,,,
1.420,-1.046,-0.449,,,,,,,,,,,,
1.430,-1.020,-0.464,,,,,,,,,,,,
1.440,-0.993,-0.478,,,,,,,,,,,,
1.450,-0.962,-0.492,,,,,,,,,,,,
1.460,-0.928,-0.504,,,,,,,,,,,,
1.470,-0.897,-0.521,,,,,,,,,,,,
1.480,-0.864,-0.537,,,,,,,,,,,,
1.490,-0.825,-0.554,,,,,,,,,,,,
1.500,-0.793,-0.571,,,,,,,,,,,,
1.510,-0.763,-0.589,,,,,,,,,,,,
1.520,-0.725,-0.609,,,,,,,,,,,,
1.530,-0.689,-0.631,,,,,,,,,,,,
1.540,-0.660,-0.649,,,,,,,,,,,,
1.550,-0.636,-0.668,,,,,,,,,,,,
1.560,-0.606,-0.685,,,,,,,,,,,,
1.570,-0.572,-0.703,,,,,,,,,,,,
1.580,-0.546,-0.719,,,,,,,,,,,,
1.590,-0.521,-0.735,,,,,,,,,,,,
1.600,-0.495,-0.750,,,,,,,,,,,,
1.610,-0.468,-0.766,,,,,,,,,,,,
1.620,-0.443,-0.780,,,,,,,,,,,,
1.630,-0.418,-0.797,,,,,,,,,,,,
1.640,-0.390,-0.814,,,,,,,,,,,,
1.650,-0.364,-0.830,,,,,,,,,,,,
1.660,-0.339,-0.846,,,,,,,,,,,,
1.670,-0.314,-0.862,,,,,,,,,,,,
1.680,-0.288,-0.877,,,,,,,,,,,,
1.690,-0.261,-0.893,,,,,,,,,,,,
1.700,-0.241,-0.908,,,,,,,,,,,,
1.710,-0.220,-0.925,,,,,,,,,,,,
1.720,-0.198,-0.942,,,,,,,,,,,,
1.730,-0.175,-0.960,,,,,,,,,,,,
1.740,-0.152,-0.976,,,,,,,,,,,,
1.750,-0.133,-0.992,,,,,,,,,,,,
1.760,-0.112,-1.009,,,,,,,,,,,,
1.770,-0.090,-1.028,,,,,,,,,,,,
1.780,-0.068,-1.046,,,,,,,,,,,,
1.790,-0.043,-1.065,,,,,,,,,,,,
1.800,-0.020,-1.082,,,,,,,,,,,,
1.810,0.004,-1.099,,,,,,,,,,,,
1.820,0.023,-1.115,,,,,,,,,,,,
1.830,0.041,-1.133,,,,,,,,,,,,
1.840,0.064,-1.150,,,,,,,,,,,,
1.850,0.087,-1.166,,,,,,,,,,,,
1.860,0.111,-1.182,,,,,,,,,,,,
1.870,0.130,-1.198,,,,,,,,,,,,
1.880,0.149,-1.213,,,,,,,,,,,,
1.890,0.173,-1.230,,,,,,,,,,,,
1.900,0.200,-1.247,,,,,,,,,,,,
1.910,0.229,-1.262,,,,,,,,,,,,
1.920,0.257,-1.279,,,,,,,,,,,,
1.930,0.276,-1.295,,,,,,,,,,,,
1.940,0.297,-1.312,,,,,,,,,,,,
1.950,0.324,-1.326,,,,,,,,,,,,
1.960,0.352,-1.343,,,,,,,,,,,,
1.970,0.377,-1.358,,,,,,,,,,,,
1.980,0.396,-1.373,,,,,,,,,,,,
1.990,0.410,-1.387,,,,,,,,,,,,
2.000,0.423,-1.403,,,,,,,,,,,,
2.010,0.444,-1.418,,,,,,,,,,,,
2.020,0.469,-1.433,,,,,,,,,,,,
2.030,0.491,-1.449,,,,,,,,,,,,
2.040,0.505,-1.466,,,,,,,,,,,,
2.050,0.516,-1.481,,,,,,,,,,,,
2.060,0.533,-1.496,,,,,,,,,,,,
2.070,0.555,-1.512,,,,,,,,,,,,
2.080,0.580,-1.527,,,,,,,,,,,,
2.090,0.603,-1.541,,,,,,,,,,,,
2.100,0.617,-1.558,,,,,,,,,,,,
2.110,0.631,-1.576,,,,,,,,,,,,
2.120,0.650,-1.592,,,,,,,,,,,,
2.130,0.674,-1.607,,,,,,,,,,,,
2.140,0.698,-1.622,,,,,,,,,,,,
2.150,0.717,-1.637,,,,,,,,,,,,
2.160,0.733,-1.653,,,,,,,,,,,,
2.170,0.752,-1.669,,,,,,,,,,,,
2.180,0.776,-1.683,,,,,,,,,,,,
2.190,0.800,-1.694,,,,,,,,,,,,
2.200,0.823,-1.707,,,,,,,,,,,,
2.210,0.841,-1.721,,,,,,,,,,,,
2.220,0.859,-1.735,,,,,,,,,,,,
2.230,0.880,-1.750,,,,,,,,,,,,
2.240,0.903,-1.763,,,,,,,,,,,,
2.250,0.925,-1.775,,,,,,,,,,,,
2.260,0.944,-1.789,,,,,,,,,,,,
2.270,0.961,-1.804,,,,,,,,,,,,
2.280,0.981,-1.818,,,,,,,,,,,,
2.290,1.001,-1.830,,,,,,,,,,,,
2.300,1.020,-1.841,,,,,,,,,,,,
2.310,1.040,-1.853,,,,,,,,,,,,
2.320,1.063,-1.865,,,,,,,,,,,,
2.330,1.085,-1.876,,,,,,,,,,,,
2.340,1.105,-1.886,,,,,,,,,,,,
2.350,1.126,-1.894,,,,,,,,,,,,
2.360,1.148,-1.904,,,,,,,,,,,,
2.370,1.171,-1.914,,,,,,,,,,,,
2.380,1.195,-1.924,,,,,,,,,,,,
2.390,1.219,-1.935,,,,,,,,,,,,
2.400,1.238,-1.943,,,,,,,,,,,,
2.410,1.257,-1.952,,,,,,,,,,,,
2.420,1.277,-1.960,,,,,,,,,,,,
2.430,1.302,-1.970,,,,,,,,,,,,
2.440,1.324,-1.981,,,,,,,,,,,,
2.450,1.347,-1.989,,,,,,,,,,,,
2.460,1.367,-1.995,,,,,,,,,,,,
2.470,1.385,-2.002,,,,,,,,,,,,
2.480,1.404,-2.010,,,,,,,,,,,,
2.490,1.428,-2.017,,,,,,,,,,,,
2.500,1.447,-2.024,,,,,,,,,,,,
2.510,1.464,-2.031,,,,,,,,,,,,
2.520,1.478,-2.036,,,,,,,,,,,,
2.530,1.490,-2.041,,,,,,,,,,,,
2.540,1.499,-2.048,,,,,,,,,,,,
2.550,1.510,-2.055,,,,,,,,,,,,
2.560,1.527,-2.060,,,,,,,,,,,,
2.570,1.544,-2.065,,,,,,,,,,,,
2.580,1.558,-2.069,,,,,,,,,,,,
2.590,1.570,-2.072,,,,,,,,,,,,
2.600,1.580,-2.075,,,,,,,,,,,,
2.610,1.593,-2.079,,,,,,,,,,,,
2.620,1.606,-2.082,,,,,,,,,,,,
2.630,1.617,-2.083,,,,,,,,,,,,
2.640,1.625,-2.084,,,,,,,,,,,,
2.650,1.627,-2.084,,,,,,,,,,,,
2.660,1.629,-2.085,,,,,,,,,,,,
2.670,1.631,-2.086,,,,,,,,,,,,
2.680,1.633,-2.088,,,,,,,,,,,,
2.690,1.636,-2.089,,,,,,,,,,,,
2.700,1.639,-2.090,,,,,,,,,,,,
2.710,1.639,-2.091,,,,,,,,,,,,
2.720,1.641,-2.092,,,,,,,,,,,,
2.730,1.643,-2.094,,,,,,,,,,,,
2.740,1.644,-2.095,,,,,,,,,,,,
2.750,1.642,-2.095,,,,,,,,,,,,
2.760,1.642,-2.095,,,,,,,,,,,,
2.770,1.642,-2.094,,,,,,,,,,,,
2.780,1.640,-2.093,,,,,,,,,,,,
2.790,1.637,-2.092,,,,,,,,,,,,
2.800,1.634,-2.090,,,,,,,,,,,,
2.810,1.633,-2.088,,,,,,,,,,,,
2.820,1.633,-2.087,,,,,,,,,,,,
2.830,1.633,-2.086,,,,,,,,,,,,
2.840,1.632,-2.084,,,,,,,,,,,,
2.850,1.630,-2.082,,,,,,,,,,,,
2.860,1.629,-2.080,,,,,,,,,,,,
2.870,1.630,-2.078,,,,,,,,,,,,
2.880,1.631,-2.074,,,,,,,,,,,,
2.890,1.631,-2.071,,,,,,,,,,,,
2.900,1.628,-2.067,,,,,,,,,,,,
2.910,1.628,-2.063,,,,,,,,,,,,
2.920,1.629,-2.060,,,,,,,,,,,,
2.930,1.630,-2.056,,,,,,,,,,,,
2.940,1.630,-2.050,,,,,,,,,,,,
2.950,1.628,-2.043,,,,,,,,,,,,
2.960,1.628,-2.038,,,,,,,,,,,,
2.970,1.629,-2.033,,,,,,,,,,,,
2.980,1.630,-2.027,,,,,,,,,,,,
2.990,1.632,-2.021,,,,,,,,,,,,
3.000,1.631,-2.013,,,,,,,,,,,,
3.010,1.631,-2.006,,,,,,,,,,,,
3.020,1.632,-1.999,,,,,,,,,,,,
3.030,1.632,-1.994,,,,,,,,,,,,
3.040,1.633,-1.988,,,,,,,,,,,,
3.050,1.631,-1.980,,,,,,,,,,,,
3.060,1.629,-1.971,,,,,,,,,,,,
3.070,1.629,-1.963,,,,,,,,,,,,
3.080,1.627,-1.955,,,,,,,,,,,,
3.090,1.624,-1.947,,,,,,,,,,,,
3.100,1.617,-1.939,,,,,,,,,,,,
3.110,1.606,-1.929,,,,,,,,,,,,
3.120,1.595,-1.919,,,,,,,,,,,,
3.130,1.584,-1.911,,,,,,,,,,,,
3.140,1.572,-1.902,,,,,,,,,,,,
3.150,1.560,-1.893,,,,,,,,,,,,
3.160,1.548,-1.885,,,,,,,,,,,,
3.170,1.538,-1.876,,,,,,,,,,,,
3.180,1.528,-1.865,,,,,,,,,,,,
3.190,1.523,-1.854,,,,,,,,,,,,
3.200,1.519,-1.841,,,,,,,,,,,,
3.210,1.517,-1.830,,,,,,,,,,,,
3.220,1.518,-1.818,,,,,,,,,,,,
3.230,1.517,-1.806,,,,,,,,,,,,
3.240,1.511,-1.794,,,,,,,,,,,,
3.250,1.501,-1.779,,,,,,,,,,,,
3.260,1.493,-1.765,,,,,,,,,,,,
3.270,1.483,-1.752,,,,,,,,,,,,
3.280,1.472,-1.738,,,,,,,,,,,,
3.290,1.460,-1.726,,,,,,,,,,,,
3.300,1.446,-1.711,,,,,,,,,,,,
3.310,1.432,-1.698,,,,,,,,,,,,
3.320,1.411,-1.687,,,,,,,,,,,,
3.330,1.393,-1.675,,,,,,,,,,,,
3.340,1.378,-1.661,,,,,,,,,,,,
3.350,1.360,-1.644,,,,,,,,,,,,
3.360,1.346,-1.630,,,,,,,,,,,,
3.370,1.329,-1.615,,,,,,,,,,,,
3.380,1.306,-1.601,,,,,,,,,,,,
3.390,1.282,-1.587,,,,,,,,,,,,
3.400,1.257,-1.571,,,,,,,,,,,,
3.410,1.242,-1.554,,,,,,,,,,,,
3.420,1.220,-1.537,,,,,,,,,,,,
3.430,1.195,-1.523,,,,,,,,,,,,
3.440,1.171,-1.509,,,,,,,,,,,,
3.450,1.144,-1.493,,,,,,,,,,,,
3.460,1.117,-1.478,,,,,,,,,,,,
3.470,1.097,-1.463,,,,,,,,,,,,
3.480,1.074,-1.447,,,,,,,,,,,,
3.490,1.050,-1.432,,,,,,,,,,,,
3.500,1.016,-1.416,,,,,,,,,,,,
3.510,0.996,-1.400,,,,,,,,,,,,
3.520,0.978,-1.385,,,,,,,,,,,,
3.530,0.951,-1.370,,,,,,,,,,,,
3.540,0.920,-1.356,,,,,,,,,,,,
3.550,0.892,-1.340,,,,,,,,,,,,
3.560,0.861,-1.322,,,,,,,,,,,,
3.570,0.829,-1.308,,,,,,,,,,,,
3.580,0.797,-1.291,,,,,,,,,,,,
3.590,0.770,-1.275,,,,,,,,,,,,
3.600,0.730,-1.258,,,,,,,,,,,,
3.610,0.692,-1.243,,,,,,,,,,,,
3.620,0.661,-1.226,,,,,,,,,,,,
3.630,0.626,-1.210,,,,,,,,,,,,
3.640,0.592,-1.196,,,,,,,,,,,,
3.650,0.559,-1.181,,,,,,,,,,,,
3.660,0.525,-1.165,,,,,,,,,,,,
3.670,0.489,-1.149,,,,,,,,,,,,
3.680,0.453,-1.131,,,,,,,,,,,,
3.690,0.416,-1.114,,,,,,,,,,,,
3.700,0.372,-1.096,,,,,,,,,,,,
3.710,0.331,-1.079,,,,,,,,,,,,
3.720,0.288,-1.063,,,,,,,,,,,,
3.730,0.246,-1.044,,,,,,,,,,,,
3.740,0.204,-1.026,,,,,,,,,,,,
