Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,-9.339,-0.945,76.0,0.770,9.037,143.0,1.440,-8.454,,,,,,
0.020,-9.350,-0.944,209.0,2.100,8.101,276.0,2.770,-7.533,,,,,,
0.030,-9.366,-0.944,342.0,3.430,7.159,408.0,4.090,-6.616,,,,,,
0.040,-9.380,-0.943,475.0,4.760,6.229,541.0,5.420,-5.754,,,,,,
0.050,-9.394,-0.943,607.0,6.080,5.338,673.0,6.740,-4.847,,,,,,
0.060,-9.407,-0.943,740.0,7.410,4.420,806.0,8.070,-4.004,,,,,,
0.070,-9.419,-0.942,872.0,8.730,3.568,938.0,9.390,-3.175,,,,,,
0.080,-9.425,-0.942,1004.0,10.050,2.781,1069.0,10.700,-2.350,,,,,,
0.090,-9.425,-0.942,1135.0,11.360,1.937,1201.0,12.020,-1.562,,,,,,
0.100,-9.418,-0.943,1266.0,12.670,1.114,1332.0,13.330,-0.783,,,,,,
0.110,-9.402,-0.942,1396.0,13.970,0.339,,,,,,,,,
0.120,-9.373,-0.941,,,,,,,,,,,,
0.130,-9.326,-0.942,,,,,,,,,,,,
0.140,-9.263,-0.942,,,,,,,,,,,,
0.150,-9.189,-0.942,,,,,,,,,,,,
0.160,-9.093,-0.942,,,,,,,,,,,,
0.170,-8.976,-0.942,,,,,,,,,,,,
0.180,-8.841,-0.942,,,,,,,,,,,,
0.190,-8.683,-0.942,,,,,,,,,,,,
0.200,-8.507,-0.942,,,,,,,,,,,,
0.210,-8.309,-0.943,,,,,,,,,,,,
0.220,-8.097,-0.942,,,,,,,,,,,,
0.230,-7.866,-0.942,,,,,,,,,,,,
0.240,-7.608,-0.943,,,,,,,,,,,,
0.250,-7.340,-0.943,,,,,,,,,,,,
0.260,-7.059,-0.943,,,,,,,,,,,,
0.270,-6.760,-0.943,,,,,,,,,,,,
0.280,-6.449,-0.942,,,,,,,,,,,,
0.290,-6.120,-0.943,,,,,,,,,,,,
0.300,-5.778,-0.943,,,,,,,,,,,,
0.310,-5.426,-0.943,,,,,,,,,,,,
0.320,-5.062,-0.942,,,,,,,,,,,,
0.330,-4.689,-0.942,,,,,,,,,,,,
0.340,-4.300,-0.942,,,,,,,,,,,,
0.350,-3.899,-0.942,,,,,,,,,,,,
0.360,-3.488,-0.942,,,,,,,,,,,,
0.370,-3.073,-0.942,,,,,,,,,,,,
0.380,-2.652,-0.941,,,,,,,,,,,,
0.390,-2.228,-0.942,,,,,,,,,,,,
0.400,-1.798,-0.943,,,,,,,,,,,,
0.410,-1.363,-0.943,,,,,,,,,,,,
0.420,-0.926,-0.942,,,,,,,,,,,,
0.430,-0.492,-0.942,,,,,,,,,,,,
0.440,-0.053,-0.942,,,,,,,,,,,,
0.450,0.379,-0.942,,,,,,,,,,,,
0.460,0.816,-0.943,,,,,,,,,,,,
0.470,1.248,-0.942,,,,,,,,,,,,
0.480,1.679,-0.942,,,,,,,,,,,,
0.490,2.104,-0.943,,,,,,,,,,,,
0.500,2.517,-0.943,,,,,,,,,,,,
0.510,2.923,-0.943,,,,,,,,,,,,
0.520,3.327,-0.944,,,,,,,,,,,,
0.530,3.720,-0.944,,,,,,,,,,,,
0.540,4.110,-0.945,,,,,,,,,,,,
0.550,4.486,-0.946,,,,,,,,,,,,
0.560,4.847,-0.946,,,,,,,,,,,,
0.570,5.197,-0.946,,,,,,,,,,,,
0.580,5.536,-0.945,,,,,,,,,,,,
0.590,5.869,-0.945,,,,,,,,,,,,
0.600,6.190,-0.946,,,,,,,,,,,,
0.610,6.493,-0.945,,,,,,,,,,,,
0.620,6.782,-0.944,,,,,,,,,,,,
0.630,7.053,-0.944,,,,,,,,,,,,
0.640,7.310,-0.944,,,,,,,,,,,,
0.650,7.548,-0.944,,,,,,,,,,,,
0.660,7.768,-0.943,,,,,,,,,,,,
0.670,7.975,-0.943,,,,,,,,,,,,
0.680,8.161,-0.943,,,,,,,,,,,,
