Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,0.154,-0.432,59.0,0.600,1.521,21.0,0.220,-1.909,61.0,0.620,0.336,24.0,0.250,-2.092
0.020,0.027,-0.522,136.0,1.370,1.503,98.0,0.990,-1.902,138.0,1.390,0.339,100.0,1.010,-2.091
0.030,-0.130,-0.613,213.0,2.140,1.508,175.0,1.760,-1.890,215.0,2.160,0.339,177.0,1.780,-2.091
0.040,-0.326,-0.707,290.0,2.910,1.517,251.0,2.520,-1.904,292.0,2.930,0.337,254.0,2.550,-2.092
0.050,-0.512,-0.803,366.0,3.670,1.506,328.0,3.290,-1.880,368.0,3.690,0.336,331.0,3.320,-2.092
0.060,-0.652,-0.900,443.0,4.440,1.515,405.0,4.060,-1.873,445.0,4.460,0.336,407.0,4.080,-2.091
0.070,-0.791,-0.997,520.0,5.210,1.521,482.0,4.830,-1.890,522.0,5.230,0.338,484.0,4.850,-2.093
0.080,-0.924,-1.092,596.0,5.970,1.501,558.0,5.590,-1.876,598.0,5.990,0.337,561.0,5.620,-2.092
0.090,-1.054,-1.186,673.0,6.740,1.529,635.0,6.360,-1.881,675.0,6.760,0.337,637.0,6.380,-2.091
0.100,-1.175,-1.280,750.0,7.510,1.516,712.0,7.130,-1.897,752.0,7.530,0.338,714.0,7.150,-2.091
0.110,-1.304,-1.371,827.0,8.280,1.510,788.0,7.890,-1.883,828.0,8.290,0.337,791.0,7.920,-2.092
0.120,-1.404,-1.461,903.0,9.040,1.511,865.0,8.660,-1.891,905.0,9.060,0.336,868.0,8.690,-2.090
0.130,-1.457,-1.546,980.0,9.810,1.518,942.0,9.430,-1.886,982.0,9.830,0.337,944.0,9.450,-2.092
0.140,-1.506,-1.629,1057.0,10.580,1.518,1019.0,10.200,-1.871,1059.0,10.600,0.338,1021.0,10.220,-2.091
0.150,-1.589,-1.707,1134.0,11.350,1.521,1095.0,10.960,-1.880,1136.0,11.370,0.337,1098.0,10.990,-2.094
0.160,-1.667,-1.778,1210.0,12.110,1.523,1172.0,11.730,-1.895,1212.0,12.130,0.337,1175.0,11.760,-2.092
0.170,-1.735,-1.844,1287.0,12.880,1.521,1249.0,12.500,-1.888,1289.0,12.900,0.337,1251.0,12.520,-2.092
0.180,-1.793,-1.903,1364.0,13.650,1.520,1326.0,13.270,-1.878,1366.0,13.670,0.337,1328.0,13.290,-2.092
0.190,-1.839,-1.954,1441.0,14.420,1.524,1402.0,14.030,-1.886,1443.0,14.440,0.337,1405.0,14.060,-2.093
0.200,-1.877,-1.999,1518.0,15.190,1.523,1479.0,14.800,-1.891,1520.0,15.210,0.336,1482.0,14.830,-2.091
0.210,-1.899,-2.034,,,,1556.0,15.570,-1.897,,,,1559.0,15.600,-2.091
0.220,-1.909,-2.062,,,,,,,,,,,,
0.230,-1.907,-2.080,,,,,,,,,,,,
0.240,-1.889,-2.090,,,,,,,,,,,,
0.250,-1.856,-2.092,,,,,,,,,,,,
0.260,-1.814,-2.085,,,,,,,,,,,,
0.270,-1.762,-2.068,,,,,,,,,,,,
0.280,-1.703,-2.043,,,,,,,,,,,,
0.290,-1.631,-2.009,,,,,,,,,,,,
0.300,-1.550,-1.966,,,,,,,,,,,,
0.310,-1.464,-1.917,,,,,,,,,,,,
0.320,-1.361,-1.858,,,,,,,,,,,,
0.330,-1.260,-1.792,,,,,,,,,,,,
0.340,-1.145,-1.721,,,,,,,,,,,,
0.350,-1.020,-1.644,,,,,,,,,,,,
0.360,-0.898,-1.561,,,,,,,,,,,,
0.370,-0.769,-1.473,,,,,,,,,,,,
0.380,-0.638,-1.382,,,,,,,,,,,,
0.390,-0.503,-1.289,,,,,,,,,,,,
0.400,-0.357,-1.193,,,,,,,,,,,,
0.410,-0.217,-1.097,,,,,,,,,,,,
0.420,-0.074,-0.996,,,,,,,,,,,,
0.430,0.064,-0.895,,,,,,,,,,,,
0.440,0.198,-0.794,,,,,,,,,,,,
0.450,0.339,-0.694,,,,,,,,,,,,
0.460,0.474,-0.597,,,,,,,,,,,,
0.470,0.602,-0.499,,,,,,,,,,,,
0.480,0.729,-0.405,,,,,,,,,,,,
0.490,0.845,-0.313,,,,,,,,,,,,
0.500,0.951,-0.224,,,,,,,,,,,,
0.510,1.056,-0.142,,,,,,,,,,,,
0.520,1.148,-0.065,,,,,,,,,,,,
0.530,1.234,0.004,,,,,,,,,,,,
