Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,-0.293,-0.998,50.0,0.510,0.637,14.0,0.150,-0.845,52.0,0.530,0.330,17.0,0.180,-2.105
0.020,-0.360,-1.101,122.0,1.230,0.661,87.0,0.880,-0.890,124.0,1.250,0.331,89.0,0.900,-2.105
0.030,-0.425,-1.201,194.0,1.950,0.609,158.0,1.590,-0.845,196.0,1.970,0.332,161.0,1.620,-2.105
0.040,-0.487,-1.301,267.0,2.680,0.679,231.0,2.320,-0.888,268.0,2.690,0.332,233.0,2.340,-2.104
0.050,-0.541,-1.399,338.0,3.390,0.616,303.0,3.040,-0.867,340.0,3.410,0.332,305.0,3.060,-2.108
0.060,-0.593,-1.495,410.0,4.110,0.667,375.0,3.760,-0.872,412.0,4.130,0.331,377.0,3.780,-2.105
0.070,-0.640,-1.585,482.0,4.830,0.631,447.0,4.480,-0.877,484.0,4.850,0.332,449.0,4.500,-2.107
0.080,-0.680,-1.671,554.0,5.550,0.652,519.0,5.200,-0.867,556.0,5.570,0.333,521.0,5.220,-2.104
0.090,-0.718,-1.752,626.0,6.270,0.644,591.0,5.920,-0.885,628.0,6.290,0.331,593.0,5.940,-2.106
0.100,-0.753,-1.827,698.0,6.990,0.643,663.0,6.640,-0.849,700.0,7.010,0.332,665.0,6.660,-2.105
0.110,-0.785,-1.894,771.0,7.720,0.655,735.0,7.360,-0.883,772.0,7.730,0.331,737.0,7.380,-2.104
0.120,-0.810,-1.954,842.0,8.430,0.633,807.0,8.080,-0.862,844.0,8.450,0.332,809.0,8.100,-2.105
0.130,-0.828,-2.003,914.0,9.150,0.652,879.0,8.800,-0.879,916.0,9.170,0.333,881.0,8.820,-2.105
0.140,-0.840,-2.042,986.0,9.870,0.640,951.0,9.520,-0.869,988.0,9.890,0.330,953.0,9.540,-2.106
0.150,-0.845,-2.073,1058.0,10.590,0.662,1023.0,10.240,-0.879,1060.0,10.610,0.332,1025.0,10.260,-2.105
0.160,-0.845,-2.093,1130.0,11.310,0.633,1095.0,10.960,-0.884,1132.0,11.330,0.331,1097.0,10.980,-2.105
0.170,-0.844,-2.103,1202.0,12.030,0.665,1168.0,11.690,-0.863,1204.0,12.050,0.334,1169.0,11.700,-2.104
0.180,-0.839,-2.105,1275.0,12.760,0.645,1239.0,12.400,-0.887,1276.0,12.770,0.331,1241.0,12.420,-2.105
0.190,-0.823,-2.096,1346.0,13.470,0.638,1311.0,13.120,-0.858,1348.0,13.490,0.332,1313.0,13.140,-2.106
0.200,-0.801,-2.079,1418.0,14.190,0.649,1383.0,13.840,-0.889,1420.0,14.210,0.330,1385.0,13.860,-2.105
0.210,-0.776,-2.051,1491.0,14.920,0.638,1455.0,14.560,-0.874,1493.0,14.940,0.333,1457.0,14.580,-2.105
0.220,-0.749,-2.012,1562.0,15.630,0.648,1528.0,15.290,-0.885,1564.0,15.650,0.330,1529.0,15.300,-2.106
0.230,-0.719,-1.963,,,,1599.0,16.000,-0.864,,,,1601.0,16.020,-2.106
0.240,-0.683,-1.906,,,,,,,,,,,,
0.250,-0.645,-1.841,,,,,,,,,,,,
0.260,-0.599,-1.769,,,,,,,,,,,,
0.270,-0.548,-1.689,,,,,,,,,,,,
0.280,-0.498,-1.602,,,,,,,,,,,,
0.290,-0.441,-1.510,,,,,,,,,,,,
