Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,-3.030,0.343,97.0,0.980,2.398,188.0,1.890,-3.178,184.0,1.850,0.352,94.0,0.950,-2.097
0.020,-3.066,0.347,277.0,2.780,2.396,369.0,3.700,-3.172,364.0,3.650,0.352,275.0,2.760,-2.096
0.030,-3.091,0.350,457.0,4.580,2.399,550.0,5.510,-3.182,545.0,5.460,0.351,457.0,4.580,-2.097
0.040,-3.115,0.352,638.0,6.390,2.393,731.0,7.320,-3.178,726.0,7.270,0.351,637.0,6.380,-2.097
0.050,-3.133,0.350,820.0,8.210,2.402,912.0,9.130,-3.072,907.0,9.080,0.350,818.0,8.190,-2.096
0.060,-3.147,0.348,1003.0,10.040,2.404,1092.0,10.930,-3.174,1088.0,10.890,0.350,999.0,10.000,-2.097
0.070,-3.158,0.345,1180.0,11.810,2.306,1275.0,12.760,-3.177,1270.0,12.710,0.350,1180.0,11.810,-2.097
0.080,-3.164,0.340,1363.0,13.640,2.401,1455.0,14.560,-3.142,1450.0,14.510,0.351,1362.0,13.630,-2.096
0.090,-3.167,0.333,1544.0,15.450,2.342,1637.0,16.380,-3.181,1632.0,16.330,0.351,1543.0,15.440,-2.097
0.100,-3.156,0.326,1725.0,17.260,2.354,1819.0,18.200,-3.142,1814.0,18.150,0.352,1724.0,17.250,-2.096
0.110,-3.145,0.317,1907.0,19.080,2.399,1999.0,20.000,-3.117,1995.0,19.960,0.352,1906.0,19.070,-2.096
0.120,-3.134,0.307,,,,,,,,,,,,
0.130,-3.118,0.295,,,,,,,,,,,,
0.140,-3.098,0.284,,,,,,,,,,,,
0.150,-3.074,0.270,,,,,,,,,,,,
0.160,-3.052,0.255,,,,,,,,,,,,
0.170,-3.024,0.240,,,,,,,,,,,,
0.180,-2.991,0.223,,,,,,,,,,,,
0.190,-2.961,0.204,,,,,,,,,,,,
0.200,-2.923,0.185,,,,,,,,,,,,
0.210,-2.883,0.164,,,,,,,,,,,,
0.220,-2.837,0.142,,,,,,,,,,,,
0.230,-2.785,0.120,,,,,,,,,,,,
0.240,-2.734,0.096,,,,,,,,,,,,
