Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,-0.756,-1.599,22.0,0.230,1.059,57.0,0.580,-1.419,25.0,0.260,0.336,60.0,0.610,-2.095
0.020,-0.655,-1.505,93.0,0.940,1.084,128.0,1.290,-1.420,95.0,0.960,0.337,130.0,1.310,-2.094
0.030,-0.552,-1.406,163.0,1.640,1.063,198.0,1.990,-1.381,165.0,1.660,0.336,201.0,2.020,-2.094
0.040,-0.422,-1.303,233.0,2.340,1.052,268.0,2.690,-1.390,235.0,2.360,0.337,271.0,2.720,-2.094
0.050,-0.313,-1.198,303.0,3.040,1.083,338.0,3.390,-1.422,305.0,3.060,0.334,341.0,3.420,-2.094
0.060,-0.204,-1.090,374.0,3.750,1.071,409.0,4.100,-1.390,375.0,3.760,0.337,411.0,4.120,-2.096
0.070,-0.092,-0.980,444.0,4.450,1.064,479.0,4.800,-1.425,446.0,4.470,0.335,481.0,4.820,-2.093
0.080,0.020,-0.871,514.0,5.150,1.069,549.0,5.500,-1.415,516.0,5.170,0.337,552.0,5.530,-2.095
0.090,0.130,-0.761,585.0,5.860,1.067,620.0,6.210,-1.402,586.0,5.870,0.336,622.0,6.230,-2.095
0.100,0.237,-0.653,655.0,6.560,1.085,690.0,6.910,-1.435,657.0,6.580,0.336,692.0,6.930,-2.095
0.110,0.341,-0.544,726.0,7.270,1.119,761.0,7.620,-1.412,727.0,7.280,0.335,763.0,7.640,-2.094
0.120,0.445,-0.443,796.0,7.970,1.057,831.0,8.320,-1.401,798.0,7.990,0.337,833.0,8.340,-2.095
0.130,0.546,-0.343,866.0,8.670,1.080,901.0,9.020,-1.445,868.0,8.690,0.337,904.0,9.050,-2.093
0.140,0.636,-0.245,937.0,9.380,1.104,972.0,9.730,-1.415,938.0,9.390,0.336,974.0,9.750,-2.094
0.150,0.718,-0.152,1007.0,10.080,1.055,1042.0,10.430,-1.412,1009.0,10.100,0.336,1044.0,10.450,-2.092
0.160,0.789,-0.069,1077.0,10.780,1.070,1113.0,11.140,-1.439,1079.0,10.800,0.336,1115.0,11.160,-2.094
0.170,0.857,0.009,1148.0,11.490,1.070,1183.0,11.840,-1.418,1149.0,11.500,0.335,1185.0,11.860,-2.093
0.180,0.914,0.079,1218.0,12.190,1.060,1253.0,12.540,-1.421,1220.0,12.210,0.337,1256.0,12.570,-2.094
0.190,0.960,0.144,1289.0,12.900,1.091,1324.0,13.250,-1.428,1290.0,12.910,0.336,1326.0,13.270,-2.093
0.200,0.996,0.197,1359.0,13.600,1.064,1394.0,13.950,-1.414,1361.0,13.620,0.336,1396.0,13.970,-2.093
0.210,1.025,0.244,1430.0,14.310,1.070,1464.0,14.650,-1.426,1431.0,14.320,0.334,1467.0,14.680,-2.093
0.220,1.045,0.280,1500.0,15.010,1.095,1535.0,15.360,-1.442,1502.0,15.030,0.337,1538.0,15.390,-2.093
