Pump Configuration,Data Type,Valve Configuration,Pump Speed,Volumetric Flow,Corrected Head,Head Coeff,Flow Coeff,Flow Uncertainty,Head Uncertainty,Head Coeff Uncertainty,Flow Coeff Uncertainty,Impeller Diameter,Efficiency,Efficiency Uncertainty
Single,Geometrically Dissimilar,,2700,0.0059,2.57,0.103001536,0.191986935,,,,,0.083,,
Single,Geometrically Dissimilar,,2700,0.0049,5.95,0.23846659,0.159446777,,,,,0.083,,
Single,Geometrically Dissimilar,,2700,0.0039,8.41,0.3370595,0.126906618,,,,,0.083,,
Single,Geometrically Dissimilar,,2700,0.0029,9.91,0.397177128,0.09436646,,,,,0.083,,
Single,Geometrically Dissimilar,,2700,0.002,10.5,0.420823395,0.065080317,,,,,0.083,,
Single,Geometrically Similar,,2700,0.008,10.3,0.243812785,0.147119554,,,,,0.108,,
Single,Geometrically Similar,,2700,0.0067,16.1,0.381105421,0.123212626,,,,,0.108,,
Single,Geometrically Similar,,2700,0.0054,19.4,0.459220197,0.099305699,,,,,0.108,,
Single,Geometrically Similar,,2700,0.004,21.6,0.511296714,0.073559777,,,,,0.108,,
Single,Geometrically Similar,,2700,0.0027,22.8,0.539702087,0.049652849,,,,,0.108,,
Single,Geometrically Similar,,2700,0.0076,7.9,0.209649345,0.165907017,,,,,0.102,,
Single,Geometrically Similar,,2700,0.0063,13,0.344992592,0.137528185,,,,,0.102,,
Single,Geometrically Similar,,2700,0.005,16.3,0.432567635,0.109149353,,,,,0.102,,
Single,Geometrically Similar,,2700,0.0038,18,0.477682051,0.082953509,,,,,0.102,,
Single,Geometrically Similar,,2700,0.0025,19.2,0.509527521,0.054574677,,,,,0.102,,
Single,Geometrically Similar,,2700,0.0071,6.65,0.199225966,0.185907251,,,,,0.096,,
Single,Geometrically Similar,,2700,0.0059,11,0.32954671,0.154486307,,,,,0.096,,
Single,Geometrically Similar,,2700,0.0047,13.9,0.416427206,0.123065363,,,,,0.096,,
Single,Geometrically Similar,,2700,0.0035,15.8,0.473348911,0.091644419,,,,,0.096,,
Single,Geometrically Similar,,2700,0.0024,16.8,0.503307703,0.062841888,,,,,0.096,,
Single,Geometrically Similar,,2700,0.0059,2.57,0.103001536,0.239039358,,,,,0.083,,
Single,Geometrically Similar,,2700,0.0049,5.95,0.23846659,0.198524212,,,,,0.083,,
Single,Geometrically Similar,,2700,0.0039,8.41,0.3370595,0.158009067,,,,,0.083,,
Single,Geometrically Similar,,2700,0.0029,9.91,0.397177128,0.117493922,,,,,0.083,,
Single,Geometrically Similar,,2700,0.002,10.5,0.420823395,0.081030291,,,,,0.083,,
