MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	57.365234	s	2/8/2024 2:47:31 PM
Time	Ch 1 Force	Bolt
s	N	V
37.382813	3750.6428	0.303541
37.402344	3746.6709	0.30326557
37.421875	3736.9846	0.30379209
37.441406	3752.6826	0.30445421
37.460938	3757.0999	0.30492005
37.480469	3751.6931	0.30495903
37.5	3771.437	0.30532542
37.519531	3784.6272	0.30604893
37.539063	3787.0769	0.30756944
37.558594	3807.9209	0.30909809
37.578125	3828.3564	0.31041002
37.597656	3836.4094	0.31137925
37.617188	3855.5959	0.31267288
37.636719	3886.999	0.31420505
37.65625	3902.2656	0.31664246
37.675781	3922.8623	0.31895071
37.695313	3956.116	0.32100523
37.714844	3976.3689	0.32264048
37.734375	3999.6042	0.32454851
37.753906	4038.9609	0.32695797
37.773438	4068.1047	0.33004594
37.792969	4091.5537	0.33300906
37.8125	4131.7061	0.33562258
37.832031	4168.2373	0.33781421
37.851563	4194.4468	0.34044045
37.871094	4234.146	0.34333673
37.890625	4273.7305	0.34702986
37.910156	4304.772	0.35052204
37.929688	4346.9517	0.35350448
37.949219	4393.4946	0.35619533
37.96875	4426.0405	0.35930389
37.988281	4465.7803	0.36306205
38.007813	4517.7241	0.36702842
38.027344	4555.5264	0.37079471
38.046875	4595.4951	0.37413967
38.066406	4646.1704	0.3772468
38.085938	4690.7104	0.38061416
38.105469	4727.6914	0.38466686
38.125	4780.5518	0.38884941
38.144531	4826.0713	0.3928296
38.164063	4863.0029	0.39613104
38.183594	4914.2998	0.39960864
38.203125	4965.7944	0.40329307
38.222656	5003.7363	0.40767968
38.242188	5049.4819	0.41189641
38.261719	5102.729	0.4158262
38.28125	5143.1479	0.41908902
38.300781	5186.6089	0.42254704
38.320313	5240.6699	0.4262768
38.339844	5279.1689	0.43053952
38.359375	5320.0874	0.43461913
38.378906	5372.79	0.43830466
38.398438	5416.4126	0.44159546
38.417969	5450.02	0.44472232
38.4375	5500.7007	0.44825947
38.457031	5544.2139	0.45242307
38.476563	5578.2476	0.45606744
38.496094	5623.6436	0.45942628
38.515625	5667.1938	0.46214059
38.535156	5699.3169	0.46516046
38.554688	5738.1431	0.46853054
38.574219	5783.1011	0.47212076
38.59375	5810.2461	0.47539538
38.613281	5842.877	0.47795737
38.632813	5886.8867	0.4802525
38.652344	5914.0718	0.48268494
38.671875	5938.8018	0.48563245
38.691406	5979.3716	0.48867339
38.710938	6003.1768	0.49128923
38.730469	6023.0391	0.49311811
38.75	6059.8438	0.49481419
38.769531	6082.8296	0.49667692
38.789063	6097.3799	0.49907637
38.808594	6125.981	0.50132668
38.828125	6149.6792	0.50307578
38.847656	6157.6265	0.50402015
38.867188	6175.1782	0.50514132
38.886719	6197.6597	0.50625616
38.90625	6203.5527	0.50792938
38.925781	6213.8145	0.50937331
38.945313	6235.1177	0.51017505
38.964844	6234.458	0.51045889
38.984375	6235.7979	0.51069373
39.003906	6254.8018	0.51123583
39.023438	6254.7183	0.51211512
39.042969	6247.146	0.51253569
39.0625	6258.4341	0.51252508
39.082031	6257.9946	0.51197696
39.101563	6242.3735	0.51143622
39.121094	6248.7358	0.51132476
39.140625	6246.689	0.51134616
39.160156	6227.396	0.51111495
39.179688	6221.417	0.51001441
39.199219	6216.7773	0.50850457
39.21875	6191.3687	0.50707275
39.238281	6175.0527	0.50606596
39.257813	6167.8452	0.50512576
39.277344	6142.522	0.50382811
39.296875	6119.3594	0.50188988
39.316406	6107.3652	0.49971098
39.335938	6080.0835	0.49756375
39.355469	6047.9448	0.49591318
39.375	6032.2241	0.49420509
39.394531	6005.104	0.49220914
39.414063	5966.3936	0.48939991
39.433594	5944.0571	0.48647809
39.453125	5917.7925	0.48379457
39.472656	5874.728	0.48169571
39.492188	5844.272	0.47934803
39.511719	5815.3774	0.47659016
39.53125	5773.3564	0.47324747
39.550781	5735.7998	0.46979183
39.570313	5707.5508	0.46663579
39.589844	5659.1177	0.46392125
39.609375	5616.5596	0.46090767
39.628906	5584.8169	0.45758086
39.648438	5541.8364	0.45358646
39.667969	5493.4214	0.4498269
39.6875	5456.5142	0.44632745
39.707031	5416.6152	0.443358
39.726563	5362.6138	0.43998259
39.746094	5323.4521	0.43625367
39.765625	5284.6338	0.43199721
39.785156	5230.3579	0.42791283
39.804688	5187.6382	0.42431301
39.824219	5150.1528	0.42100233
39.84375	5096.9536	0.41749436
39.863281	5047.7437	0.41361266
39.882813	5010.3066	0.40927827
39.902344	4959.7686	0.40509266
39.921875	4910.917	0.40148017
39.941406	4871.8242	0.39816901
39.960938	4821.3066	0.3944847
39.980469	4770.5879	0.39045566
40	4731.5444	0.38614568
40.019531	4688.8804	0.38223618
40.039063	4635.7534	0.3790586
40.058594	4595.9746	0.37575829
40.078125	4559.8291	0.37231091
40.097656	4508.8774	0.36840761
40.117188	4468.8496	0.36473227
40.136719	4433.5903	0.36109123
40.15625	4386.0425	0.35816872
40.175781	4346.0664	0.35531539
40.195313	4314.0313	0.35212383
40.214844	4272.4795	0.34852129
40.234375	4229.2944	0.34503484
40.253906	4202.9004	0.34191978
40.273438	4166.0854	0.33949018
40.292969	4126.4292	0.33714992
40.3125	4098.7192	0.33424264
40.332031	4068.7742	0.33113301
40.351563	4030.6416	0.32827348
40.371094	4008.0928	0.32596678
40.390625	3984.8101	0.32411829
40.410156	3948.2883	0.32211858
40.429688	3926.9561	0.31997389
40.449219	3911.156	0.31748521
40.46875	3881.4731	0.31533027
40.488281	3859.4744	0.31385496
40.507813	3850.2756	0.31277415
40.527344	3827.5686	0.31159064
40.546875	3805.1035	0.30997181
40.566406	3803.5642	0.30831462
40.585938	3785.8997	0.30697459
40.605469	3768.5425	0.30627179
40.625	3767.0142	0.30601493
40.644531	3763.6133	0.30550444
40.664063	3745.0764	0.30472761
40.683594	3746.3315	0.30388638
40.703125	3751.1023	0.30333644
40.722656	3739.7556	0.30375984
40.742188	3742.1926	0.30423567
40.761719	3751.2705	0.30444169
40.78125	3747.6416	0.30422175
40.800781	3749.7595	0.30423445
40.820313	3770.6243	0.30459878
40.839844	3773.4587	0.30594003
40.859375	3778.9153	0.30725348
40.878906	3804.4893	0.30845237
40.898438	3814.9414	0.30925599
40.917969	3823.3276	0.31024966
40.9375	3850.7681	0.31165394
40.957031	3869.8945	0.31365132
40.976563	3880.8052	0.31567526
40.996094	3911.2129	0.31745183
41.015625	3938.6697	0.31892538
41.035156	3955.0352	0.32062912
41.054688	3984.3379	0.32303366
41.074219	4020.3708	0.32581514
41.09375	4042.8352	0.32856697
41.113281	4071.4761	0.33093944
41.132813	4112.2944	0.33313569
41.152344	4142.0898	0.33549565
41.171875	4171.3203	0.33863935
41.191406	4215.8755	0.34210297
41.210938	4248.4468	0.34528938
41.230469	4280.168	0.34831315
41.25	4327.6714	0.3510997
41.269531	4368.6118	0.35389391
41.289063	4399.3872	0.35745975
41.308594	4443.9834	0.3612988
41.328125	4489.7148	0.36497054
41.347656	4524.5269	0.36810839
41.367188	4570.2437	0.37131277
41.386719	4620.8145	0.37468371
41.40625	4656.2783	0.37876394
41.425781	4700.2974	0.38281417
41.445313	4754.502	0.38662913
41.464844	4795.8896	0.38979632
41.484375	4834.0586	0.39313599
41.503906	4888.0215	0.39701226
41.523438	4934.5137	0.40139258
41.542969	4973.2134	0.40563551
41.5625	5026.4492	0.40948534
41.582031	5072.3999	0.4127835
41.601563	5110.7485	0.416217
41.621094	5161.5415	0.42004433
41.640625	5212.2095	0.42433167
41.660156	5249.9653	0.42846349
41.679688	5294.6699	0.43216419
41.699219	5347.0674	0.43538764
41.71875	5383.7695	0.43865684
41.738281	5426.7666	0.44239181
41.757813	5476.5557	0.44664785
41.777344	5514.7324	0.45050487
41.796875	5552.5659	0.45369452
41.816406	5602.1548	0.45658106
41.835938	5640.9653	0.45974997
41.855469	5672.4917	0.4633286
41.875	5719.3447	0.46699104
41.894531	5756.6841	0.47037151
41.914063	5785.2495	0.47307763
41.933594	5825.1577	0.47551614
41.953125	5861.2769	0.47810033
41.972656	5879.6797	0.48073906
41.992188	5907.9878	0.4831661
42.011719	5955.9873	0.48661226
42.03125	5977.2729	0.48891073
42.050781	5998.7588	0.49050301
42.070313	6038.001	0.4924522
42.089844	6062.9282	0.49565333
42.109375	6080.8604	0.49811509
42.128906	6108.4106	0.49987
42.148438	6128.77	0.50108659
42.167969	6148.8184	0.50275987
42.1875	6185.8174	0.50521022
42.207031	6203.5923	0.50756937
42.226563	6210.5532	0.50910944
42.246094	6227.2471	0.51015145
42.265625	6244.002	0.51052117
42.285156	6241.1929	0.51084733
42.304688	6252.5107	0.51165354
42.324219	6267.2217	0.51258439
42.34375	6260.2002	0.51340175
42.363281	6263.1987	0.51337337
42.382813	6273.3882	0.5130055
42.402344	6265.167	0.51273489
42.421875	6257.8706	0.51267576
42.441406	6268.7949	0.51302302
42.460938	6258.6377	0.51285809
42.480469	6240.7842	0.5121004
42.5	6243.4946	0.51083905
42.519531	6232.7563	0.50978011
42.539063	6209.9727	0.50901985
42.558594	6202.9419	0.50832123
42.578125	6188.2832	0.50728071
42.597656	6163.6045	0.50557011
42.617188	6147.9424	0.50343907
42.636719	6134.8447	0.50153792
42.65625	6102.6157	0.50019908
42.675781	6078.4043	0.49868134
42.695313	6063.834	0.4968279
42.714844	6031.8301	0.49420401
