MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	57.360352	s	2/8/2024 3:06:25 PM
Time	Ch 1 Force	Bolt
s	N	V
37.37793	3748.8401	0.30224279
37.397461	3743.3452	0.30216736
37.416992	3735.3855	0.30261916
37.436523	3749.5195	0.30329749
37.456055	3753.8652	0.30320483
37.475586	3749.7363	0.30333096
37.495117	3770.0393	0.30391371
37.514648	3784.8706	0.30519032
37.53418	3786.5645	0.30678767
37.553711	3804.823	0.30819428
37.573242	3830.8755	0.30898356
37.592773	3836.6563	0.30996573
37.612305	3858.9934	0.31146491
37.631836	3889.7268	0.31375217
37.651367	3903.4639	0.31594661
37.670898	3923.5842	0.31787139
37.69043	3961	0.31942278
37.709961	3979.1929	0.32118854
37.729492	4000.3838	0.32332093
37.749023	4038.6418	0.32615799
37.768555	4069.8418	0.32910821
37.788086	4091.4822	0.33179247
37.807617	4133.3564	0.33406967
37.827148	4170.1035	0.33658683
37.84668	4198.3179	0.33948198
37.866211	4238.019	0.34300661
37.885742	4281.1074	0.34637249
37.905273	4308.2583	0.34944233
37.924805	4350.1084	0.35238469
37.944336	4399.4761	0.35537905
37.963867	4436.3799	0.35900509
37.983398	4473.1567	0.36286527
38.00293	4524.8892	0.36660177
38.022461	4563.9517	0.37000293
38.041992	4600.7422	0.37301761
38.061523	4653.1807	0.37641141
38.081055	4696.0063	0.38030964
38.100586	4732.7153	0.38441327
38.120117	4783.6348	0.38842064
38.139648	4833.6904	0.39184743
38.15918	4869.8027	0.39527947
38.178711	4917.5923	0.39873105
38.198242	4969.8584	0.40285468
38.217773	5007.397	0.407116
38.237305	5057.4365	0.41132495
38.256836	5109.7964	0.41475594
38.276367	5149.7988	0.41814262
38.295898	5194.125	0.42187476
38.31543	5248.6006	0.42605132
38.334961	5289.0859	0.43033051
38.354492	5324.7754	0.43415225
38.374023	5383.5981	0.43750197
38.393555	5426.9595	0.44093716
38.413086	5465.7124	0.44453439
38.432617	5512.5669	0.44862416
38.452148	5555.3979	0.45238045
38.47168	5589.0352	0.45581117
38.491211	5632.2764	0.45858431
38.510742	5681.2954	0.46163934
38.530273	5709.29	0.4650062
38.549805	5747.4629	0.46865582
38.569336	5792.1235	0.47194034
38.588867	5819.9551	0.47477657
38.608398	5852.5508	0.47712493
38.62793	5894.4463	0.47963661
38.647461	5922.5454	0.48246801
38.666992	5948.0015	0.48558086
38.686523	5985.1289	0.48829651
38.706055	6012.3149	0.49042791
38.725586	6029.6411	0.49220905
38.745117	6065.5732	0.49411014
38.764648	6091.9639	0.49643785
38.78418	6103.9546	0.49879366
38.803711	6130.9873	0.50081366
38.823242	6154.9155	0.50214916
38.842773	6162.7124	0.50318056
38.862305	6181.8394	0.50446886
38.881836	6207.2759	0.50611806
38.901367	6208.9316	0.50772524
38.920898	6218.1602	0.50896919
38.94043	6239.6919	0.50933087
38.959961	6235.3364	0.50917161
38.979492	6236.7554	0.50967324
38.999023	6251.3198	0.51052809
39.018555	6254.144	0.51109004
39.038086	6242.9155	0.51134062
39.057617	6253.1699	0.51088536
39.077148	6255.2231	0.51046783
39.09668	6241.2578	0.51027042
39.116211	6245.3623	0.51045305
39.135742	6246.4468	0.51037484
39.155273	6224.8579	0.50974411
39.174805	6216.4263	0.50851321
39.194336	6215.1528	0.50708377
39.213867	6190.9629	0.50591457
39.233398	6173.7344	0.50520957
39.25293	6166.0947	0.50413549
39.272461	6140.3252	0.50237989
39.291992	6116.0117	0.5003401
39.311523	6106.4365	0.4982141
39.331055	6078.7534	0.49643594
39.350586	6043.8315	0.49495965
39.370117	6029.0967	0.49319148
39.389648	6003.064	0.49062103
39.40918	5964.1118	0.48779935
39.428711	5939.6899	0.48492461
39.448242	5911.8008	0.48256305
39.467773	5870.2261	0.48039824
39.487305	5839.0537	0.47786608
39.506836	5814.2842	0.47474074
39.526367	5767.5947	0.47143614
39.545898	5731.585	0.46824336
39.56543	5701.1748	0.46529236
39.584961	5657.0713	0.46245688
39.604492	5612.2266	0.45943969
39.624023	5580.6475	0.45571619
39.643555	5538.25	0.45192057
39.663086	5489.4937	0.44826311
39.682617	5454.5459	0.445207
39.702148	5412.2495	0.44196784
39.72168	5354.7651	0.43827879
39.741211	5316.106	0.43416804
39.760742	5280.248	0.43010935
39.780273	5226.5547	0.42620742
39.799805	5178.312	0.42293721
39.819336	5142.5132	0.41944176
39.838867	5089.7495	0.41567618
39.858398	5039.708	0.41127717
39.87793	5002.644	0.40710434
39.897461	4953.5186	0.40347084
39.916992	4902.5415	0.40010977
39.936523	4864.9063	0.39662701
39.956055	4818.1079	0.39270145
39.975586	4764.8564	0.38848037
39.995117	4726.0835	0.38431591
40.014648	4684.124	0.38081169
40.03418	4632.4634	0.37769601
40.053711	4590.2217	0.37418184
40.073242	4550.4048	0.37046638
40.092773	4500.4863	0.36631006
40.112305	4459.0005	0.36255991
40.131836	4425.5811	0.35930943
40.151367	4378.2339	0.3563967
40.170898	4333.6079	0.35330403
40.19043	4307.3442	0.34984037
40.209961	4264.5293	0.3462075
40.229492	4222.894	0.34291533
40.249023	4195.2725	0.34025013
40.268555	4160.3364	0.33794212
40.288086	4118.084	0.33524579
40.307617	4092.9365	0.33216524
40.327148	4063.522	0.32909775
40.34668	4023.7783	0.32635745
40.366211	3999.8459	0.32442096
40.385742	3980.5374	0.32264704
40.405273	3946.6174	0.32067627
40.424805	3922.5107	0.31812891
40.444336	3908.0791	0.31579393
40.463867	3878.0098	0.31377897
40.483398	3855.9219	0.31274921
40.50293	3846.9065	0.31145334
40.522461	3824.5056	0.30997309
40.541992	3801.8235	0.30811676
40.561523	3798.1921	0.30652675
40.581055	3786.3167	0.30566913
40.600586	3763.5364	0.30539554
