MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	57.379883	s	2/8/2024 2:45:44 PM
Time	Ch 1 Force	Bolt
s	N	V
37.397461	3765.4617	0.79723251
37.416992	3751.7231	0.79767513
37.436523	3756.3525	0.79804599
37.456055	3770.1548	0.79793787
37.475586	3765.3845	0.79751229
37.495117	3772.3254	0.79713488
37.514648	3797.6882	0.797243
37.53418	3800.8816	0.79776561
37.553711	3804.2312	0.79801071
37.573242	3832.8994	0.7979458
37.592773	3849.873	0.79745263
37.612305	3857.2688	0.79721463
37.631836	3886.5164	0.79740894
37.651367	3911.7004	0.7980783
37.670898	3921.2629	0.79836756
37.69043	3952.7751	0.79805303
37.709961	3984.5798	0.79759669
37.729492	3995.7808	0.79740787
37.749023	4028.0317	0.79781687
37.768555	4069.9043	0.79829443
37.788086	4089.572	0.79860657
37.807617	4119.2251	0.79827428
37.827148	4162.8184	0.79790825
37.84668	4193.4116	0.79780644
37.866211	4220.0835	0.7983157
37.885742	4268.5454	0.79889143
37.905273	4302.8032	0.79907119
37.924805	4329.9487	0.79866898
37.944336	4381.4668	0.79847467
37.963867	4425.2114	0.7985273
37.983398	4451.7764	0.79909563
38.00293	4498.1978	0.79969764
38.022461	4547.5986	0.79993534
38.041992	4581.145	0.79971278
38.061523	4626.4385	0.79957676
38.081055	4679.9536	0.7997995
38.100586	4713.2827	0.80059731
38.120117	4756.3906	0.80114436
38.139648	4814.2119	0.80140781
38.15918	4852.6919	0.80119359
38.178711	4890.3428	0.80105633
38.198242	4948.1943	0.80149525
38.217773	4992.1084	0.80234116
38.237305	5028.7422	0.80301404
38.256836	5084.2515	0.80302829
38.276367	5130.7202	0.80284828
38.295898	5162.4858	0.80284071
38.31543	5217.3882	0.80349469
38.334961	5266.9995	0.80424911
38.354492	5298.4141	0.8048867
38.374023	5346.3857	0.80488354
38.393555	5401.3857	0.80474353
38.413086	5436.3833	0.80480069
38.432617	5476.0552	0.80553561
38.452148	5527.4497	0.8062439
38.47168	5560.1978	0.80669349
38.491211	5596.1392	0.80659699
38.510742	5647.9526	0.80655187
38.530273	5684.0308	0.80672675
38.549805	5710.3052	0.80749059
38.569336	5760.2969	0.80820858
38.588867	5796.1494	0.80857563
38.608398	5820.6201	0.80841869
38.62793	5859.4385	0.80827367
38.647461	5899.9614	0.80853987
38.666992	5920.2212	0.80929744
38.686523	5954.3491	0.80992496
38.706055	5990.5127	0.81012785
38.725586	6004.7495	0.80989683
38.745117	6030.7388	0.80971932
38.764648	6067.7764	0.81002051
38.78418	6083.8931	0.81067455
38.803711	6097.6934	0.81126499
38.823242	6134.5493	0.81126928
38.842773	6153.6367	0.81098145
38.862305	6156.123	0.81081623
38.881836	6182.6001	0.81114709
38.901367	6197.6494	0.81184834
38.920898	6197.8232	0.81223333
38.94043	6218.1245	0.81208873
38.959961	6234.252	0.81166899
38.979492	6228.9683	0.81150246
38.999023	6235.9092	0.81182355
39.018555	6252.4854	0.81238157
39.038086	6245.333	0.81267178
39.057617	6242.7329	0.81221461
39.077148	6254.7852	0.81182122
39.09668	6243.1001	0.81164575
39.116211	6233.6606	0.81201857
39.135742	6243.8853	0.81249809
39.155273	6231.7979	0.81251806
39.174805	6209.3779	0.81201822
39.194336	6209.897	0.8115136
39.213867	6199.7988	0.81122386
39.233398	6171.8799	0.81149101
39.25293	6163.2935	0.81192547
39.272461	6150.9209	0.81184697
39.291992	6121.0122	0.81129843
39.311523	6104.6499	0.81072688
39.331055	6093.292	0.81046075
39.350586	6053.8711	0.81082976
39.370117	6030.7778	0.81093419
39.389648	6015.6401	0.81066525
39.40918	5980.5059	0.80995148
39.428711	5946.0366	0.80941212
39.448242	5926.2231	0.80935848
39.467773	5892.6587	0.80967963
39.487305	5850.2837	0.80969262
39.506836	5826.7261	0.809286
39.526367	5793.2656	0.80858117
39.545898	5742.9473	0.80785596
39.56543	5714.3955	0.8078078
39.584961	5684.5557	0.80804944
39.604492	5633.6641	0.8081522
39.624023	5597.624	0.80755687
39.643555	5565.0737	0.80680811
39.663086	5511.937	0.80626273
39.682617	5469.8662	0.80626935
39.702148	5439.1738	0.80645883
39.72168	5385.9409	0.80634707
39.741211	5339.2153	0.80562377
39.760742	5307.5449	0.80494136
39.780273	5259.8135	0.80441725
39.799805	5203.75	0.80456382
39.819336	5166.9761	0.80462164
39.838867	5122.9385	0.80437744
39.858398	5067.3223	0.80364597
39.87793	5028.2129	0.80295241
39.897461	4987.7417	0.8024084
39.916992	4931.9009	0.80271357
39.936523	4891.0708	0.80281466
39.956055	4853.7095	0.80249178
39.975586	4797.9712	0.80172712
39.995117	4749.624	0.80109364
40.014648	4718.041	0.80089951
40.03418	4666.0874	0.80112517
40.053711	4614.8535	0.80116355
40.073242	4583.5269	0.80084503
40.092773	4534.4775	0.80002719
40.112305	4483.3022	0.79949474
40.131836	4451.4863	0.79943228
40.151367	4413.1172	0.79973096
40.170898	4360.6836	0.79981202
40.19043	4327.3037	0.79941934
