MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	57.383789	s	2/8/2024 2:43:55 PM
Time	Ch 1 Force	Bolt
s	N	V
37.402344	3758.5366	0.49552384
37.421875	3760.0625	0.49508142
37.441406	3749.7373	0.4946546
37.460938	3763.179	0.49481407
37.480469	3773.1025	0.49539191
37.5	3768.4363	0.49576524
37.519531	3785.8201	0.49570894
37.539063	3807.5593	0.49531552
37.558594	3808.1772	0.49523875
37.578125	3825.6592	0.49556223
37.597656	3853.2808	0.49628612
37.617188	3861.7629	0.49669194
37.636719	3878.1423	0.49672127
37.65625	3911.2173	0.49642
37.675781	3928.7368	0.49646124
37.695313	3945.3381	0.49708959
37.714844	3985.2996	0.49782947
37.734375	4007.7725	0.498227
37.753906	4024.9294	0.49819005
37.773438	4065.7378	0.4980942
37.792969	4099.8052	0.49818021
37.8125	4121.0259	0.49897972
37.832031	4159.8638	0.49976164
37.851563	4201.0474	0.50042385
37.871094	4226.478	0.50036037
37.890625	4264.7251	0.50038105
37.910156	4313.5552	0.50068587
37.929688	4340.832	0.5016135
37.949219	4376.3271	0.5024879
37.96875	4429.8315	0.50288624
37.988281	4464.5327	0.50280297
38.007813	4498.7095	0.50294703
38.027344	4551.9004	0.50349444
38.046875	4593.6338	0.50449491
38.066406	4627.6162	0.50522768
38.085938	4681.9575	0.50569761
38.105469	4728.0991	0.50575107
38.125	4761.4976	0.50604773
38.144531	4813.5322	0.50666034
38.164063	4867.2603	0.50769293
38.183594	4900.7134	0.50873005
38.203125	4946.042	0.50899011
38.222656	5004.4048	0.50915456
38.242188	5040.5342	0.5093267
38.261719	5084.958	0.51016146
38.28125	5140.7651	0.51125997
38.300781	5178.8286	0.51210654
38.320313	5217.9414	0.51239663
38.339844	5274.3052	0.51247823
38.359375	5314.5537	0.51290703
38.378906	5351.9683	0.51375991
38.398438	5404.8091	0.51503009
38.417969	5452.104	0.51585472
38.4375	5483.0615	0.51604301
38.457031	5530.7642	0.51615906
38.476563	5576.6333	0.51653975
38.496094	5605.688	0.51753968
38.515625	5647.9375	0.51850939
38.535156	5695.1865	0.51923883
38.554688	5723.3677	0.51933551
38.574219	5758.3872	0.51954246
38.59375	5804.3784	0.51997292
38.613281	5834.9731	0.52111334
38.632813	5860.1533	0.52197421
38.652344	5902.7759	0.52249062
38.671875	5932.1665	0.52254707
38.691406	5953.6699	0.52274007
38.710938	5991.7241	0.52328122
38.730469	6021.8433	0.52428019
38.75	6034.854	0.52517915
38.769531	6064.5972	0.52555966
38.789063	6096.1201	0.52539206
38.808594	6106.0977	0.52559996
38.828125	6127.8667	0.5261656
38.847656	6156.8135	0.52714771
38.867188	6163.4785	0.52794302
38.886719	6176.7705	0.52801341
38.90625	6201.9023	0.52785236
38.925781	6206.6113	0.52786583
38.945313	6210.7554	0.52839822
38.964844	6231.2119	0.52905357
38.984375	6238.3208	0.52957243
39.003906	6231.7466	0.52940166
39.023438	6245.6973	0.52902168
39.042969	6251.415	0.52889198
39.0625	6241.1816	0.52928352
39.082031	6247.4351	0.52968657
39.101563	6249.8271	0.52988994
39.121094	6234.4487	0.5294373
39.140625	6230.8613	0.52883184
39.160156	6235.2837	0.52851057
39.179688	6215.6011	0.52862692
39.199219	6199.6826	0.52883637
39.21875	6199.7012	0.52858323
39.238281	6175.8525	0.52771842
39.257813	6154.5142	0.52703613
39.277344	6146.9868	0.52646106
39.296875	6123.0361	0.52649873
39.316406	6094.3096	0.52646494
39.335938	6082.8213	0.52609044
39.355469	6061.7549	0.52507585
39.375	6022.6396	0.52422678
39.394531	6001.9678	0.52373385
39.414063	5981.8687	0.52373004
39.433594	5940.7041	0.5235889
39.453125	5913.8203	0.52298892
39.472656	5890.9531	0.52195346
39.492188	5848.8667	0.52107024
39.511719	5813.3662	0.52058434
39.53125	5789.4229	0.52053356
39.550781	5744.6509	0.52023077
39.570313	5699.2876	0.5195533
39.589844	5674.7349	0.51843387
39.609375	5633.4053	0.51749158
39.628906	5585.1279	0.51726556
39.648438	5554.1543	0.51704001
39.667969	5511.6313	0.5167836
39.6875	5457.9116	0.51589602
39.707031	5421.9443	0.51487362
39.726563	5386.021	0.51405221
39.746094	5329.5044	0.5137285
39.765625	5287.5488	0.51348394
