MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	57.380859	s	2/8/2024 2:59:16 PM
Time	Ch 1 Force	Bolt
s	N	V
37.398438	3738.0632	0.43427795
37.417969	3752.3665	0.43372974
37.4375	3760.491	0.43338421
37.457031	3751.6389	0.43369517
37.476563	3761.8015	0.43428791
37.496094	3779.1111	0.43452159
37.515625	3775.0093	0.43428946
37.535156	3788.8228	0.43403494
37.554688	3815.2683	0.4341096
37.574219	3820.7888	0.43488115
37.59375	3832.7986	0.43560073
37.613281	3863.5669	0.43620926
37.632813	3871.9124	0.43604657
37.652344	3884.3354	0.43605393
37.671875	3919.2563	0.436584
37.691406	3942.4653	0.43752086
37.710938	3956.5642	0.43861571
37.730469	4001.5029	0.43936846
37.75	4034.1587	0.43981856
37.769531	4053.4387	0.44028771
37.789063	4090.9109	0.44118956
37.808594	4129.3003	0.44240695
37.828125	4149.5347	0.44375324
37.847656	4184.208	0.44455615
37.867188	4229.9517	0.44510823
37.886719	4256.7095	0.44586971
37.90625	4292.8589	0.44711393
37.925781	4342.3608	0.44889623
37.945313	4375.626	0.45043796
37.964844	4409.3755	0.45136017
37.984375	4460.8965	0.45223489
38.003906	4501.5581	0.45329708
38.023438	4533.2295	0.45512009
38.042969	4583.6099	0.45703319
38.0625	4632.7002	0.45872569
38.082031	4666.5352	0.45995727
38.101563	4714.2822	0.46107796
38.121094	4767.7324	0.46252432
38.140625	4802.8965	0.46459895
38.160156	4849.9956	0.46673125
38.179688	4902.3823	0.46855393
38.199219	4939.1377	0.46992236
38.21875	4983.0713	0.47135353
38.238281	5040.4624	0.47310495
38.257813	5081.6113	0.47541204
38.277344	5119.6138	0.4777469
38.296875	5174.0591	0.47978401
38.316406	5218.1646	0.48115927
38.335938	5255.4634	0.48275101
38.355469	5308.8862	0.48472759
38.375	5352.8022	0.4872978
38.394531	5387.8149	0.48976362
38.414063	5436.5903	0.49176696
38.433594	5487.916	0.49326569
38.453125	5519.3691	0.49504784
38.472656	5563.9624	0.49725431
38.492188	5613.7573	0.4998458
38.511719	5643.9492	0.50212133
38.53125	5682.0342	0.50391465
38.550781	5726.7964	0.5052225
38.570313	5758.0459	0.50695229
38.589844	5791.1353	0.50909835
38.609375	5835.6143	0.51156169
38.628906	5867.4385	0.51362181
38.648438	5890.248	0.51504678
38.667969	5932.6387	0.51635295
38.6875	5967.2471	0.51790428
38.707031	5984.938	0.51995903
38.726563	6018.0396	0.52198058
38.746094	6047.333	0.52361828
38.765625	6061.9893	0.52463698
38.785156	6087.8018	0.52553904
38.804688	6119.8008	0.52681077
38.824219	6129.9707	0.52861375
38.84375	6146.7759	0.53013778
38.863281	6176.3701	0.53125155
38.882813	6183.8115	0.53167915
38.902344	6189.6489	0.53221416
38.921875	6216.2715	0.53312922
